,pl_name,ra,dec
17966,Kepler-381 c,285.1828685,43.8310283
17967,Kepler-381 b,285.1828685,43.8310283
17968,Kepler-381 c,285.1828685,43.8310283
17969,Kepler-381 d,285.1828685,43.8310283
17970,Kepler-1311 c,289.6512597,43.8244445
17971,Kepler-1311 c,289.6512597,43.8244445
17972,Kepler-1311 c,289.6512597,43.8244445
17973,Kepler-1311 c,289.6512597,43.8244445
17974,Kepler-1311 b,289.6512597,43.8244445
17975,Kepler-1311 b,289.6512597,43.8244445
17976,Kepler-1311 c,289.6512597,43.8244445
17977,Kepler-462 c,299.8211502,43.8142793
17978,Kepler-1835 b,280.3148152,43.9856885
17979,Kepler-1835 b,280.3148152,43.9856885
17980,Kepler-1919 b,283.1319153,43.956005
17981,Kepler-1919 b,283.1319153,43.956005
17982,Kepler-1919 b,283.1319153,43.956005
17983,Kepler-1919 b,283.1319153,43.956005
17984,Kepler-1952 b,288.0764082,43.9584839
17985,Kepler-1685 b,296.1882618,43.9368118
17986,Kepler-1685 b,296.1882618,43.9368118
17987,KIC 8121913 b,298.9677981,43.909378
17988,Kepler-1815 b,300.170472,43.9849048
17989,Kepler-1782 b,280.926162,44.0878036
17990,Kepler-1782 b,280.926162,44.0878036
17991,Kepler-1926 b,291.1987905,44.1662033
17992,Kepler-1926 b,291.1987905,44.1662033
17993,Kepler-1038 c,298.9721472,44.1323499
17994,Kepler-1038 c,298.9721472,44.1323499
17995,Kepler-1038 b,298.9721472,44.1323499
17996,Kepler-1802 c,300.2420869,44.1412854
17997,Kepler-1802 c,300.2420869,44.1412854
17998,Kepler-1802 b,300.2420869,44.1412854
17999,Kepler-1802 b,300.2420869,44.1412854
18000,Kepler-1683 b,298.4501035,44.2840193
18001,Kepler-1891 b,290.0438524,44.3705375
18002,Kepler-1891 b,290.0438524,44.3705375
18003,Kepler-1847 b,296.6014013,44.3252289
18004,Kepler-1847 b,296.6014013,44.3252289
18005,Kepler-1817 b,282.0333419,44.4779955
18006,Kepler-1817 b,282.0333419,44.4779955
18007,Kepler-1900 b,291.8863206,44.4790319
18008,Kepler-1900 b,291.8863206,44.4790319
18009,Kepler-1942 b,294.9805416,44.4252384
18010,Kepler-1942 b,294.9805416,44.4252384
18011,Kepler-1942 b,294.9805416,44.4252384
18012,Kepler-647 c,284.7882977,44.5916225
18013,Kepler-647 b,284.7882977,44.5916225
18014,Kepler-1702 b,284.9724842,44.5674794
18015,Kepler-1702 b,284.9724842,44.5674794
18016,Kepler-1934 b,290.9193265,37.2871677
18017,Kepler-1807 b,291.5494119,44.5272788
18018,Kepler-1090 b,295.6629002,44.5258237
18019,Kepler-1090 c,295.6629002,44.5258237
18020,KIC 8540376 b,282.3775397,44.694569
18021,Kepler-1866 b,286.2246453,44.6544869
18022,Kepler-607 c,291.0571451,44.632306
18023,Kepler-607 c,291.0571451,44.632306
18024,Kepler-607 b,291.0571451,44.632306
18025,Kepler-607 c,291.0571451,44.632306
18026,Kepler-607 b,291.0571451,44.632306
18027,Kepler-607 c,291.0571451,44.632306
18028,Kepler-1854 b,286.28593,37.3869915
18029,Kepler-1784 b,297.9541684,44.6674491
18030,Kepler-1784 b,297.9541684,44.6674491
18031,Kepler-1784 b,297.9541684,44.6674491
18032,Kepler-1804 b,301.3428675,44.672175
18033,Kepler-1804 b,301.3428675,44.672175
18034,Kepler-1796 b,301.5430397,44.6056251
18035,Kepler-1207 b,295.0641963,49.3589615
18036,Kepler-1207 b,295.0641963,49.3589615
18037,Kepler-1320 b,288.4335977,40.3808519
18038,Kepler-400 b,290.9444679,40.4800528
18039,HD 68988 b,124.5935429,61.4608518
18040,HD 106252 b,183.3730583,10.0404302
18041,BD-11 4672 c,278.3688659,-11.6370481
18042,Kepler-401 b,290.0827494,50.8634361
18043,Kepler-401 b,290.0827494,50.8634361
18044,Kepler-401 b,290.0827494,50.8634361
18045,Kepler-1796 b,301.5430397,44.6056251
18046,Kepler-1165 b,286.9712284,44.7082669
18047,Kepler-1913 b,290.216689,44.7795863
18048,Kepler-281 b,294.1081465,44.7706524
18049,Kepler-281 d,294.1081465,44.7706524
18050,Kepler-281 c,294.1081465,44.7706524
18051,Kepler-281 b,294.1081465,44.7706524
18052,Kepler-281 b,294.1081465,44.7706524
18053,Kepler-281 c,294.1081465,44.7706524
18054,Kepler-1846 b,294.3909489,44.7629523
18055,Kepler-1959 b,296.022301,44.7326691
18056,Kepler-1959 b,296.022301,44.7326691
18057,Kepler-1768 b,299.9572335,44.7718851
18058,Kepler-1828 b,292.4275963,37.3207616
18059,Kepler-1828 b,292.4275963,37.3207616
18060,Kepler-1893 b,298.4012866,44.8381709
18061,Kepler-1742 b,286.9668086,44.9924315
18062,Kepler-1881 b,293.6393065,44.9825447
18063,Kepler-1067 c,285.3873706,45.0490265
18064,Kepler-1067 b,285.3873706,45.0490265
18065,Kepler-1925 b,289.8287452,45.1026883
18066,Kepler-1721 b,283.5441984,45.2256548
18067,Kepler-1721 b,283.5441984,45.2256548
18068,Kepler-1721 b,283.5441984,45.2256548
18069,HD 99109 b,171.0715576,-1.529761
18070,HD 141937 b,238.0735585,-18.4359716
18071,8 UMi b,224.201685,74.9009379
18072,Kepler-1777 b,290.3286455,37.7231188
18073,Kepler-1514 b,292.6274943,37.8601653
18074,Kepler-1899 b,292.0333777,37.9744551
18075,Kepler-1844 b,292.6903973,37.9345682
18076,Kepler-1810 b,291.8129995,38.0880964
18077,Kepler-1773 b,286.2232284,38.2581676
18078,Kepler-1773 b,286.2232284,38.2581676
18079,Kepler-1736 b,289.7766991,38.2622374
18080,Kepler-1073 c,294.1527259,38.2330886
18081,Kepler-1073 c,294.1527259,38.2330886
18082,Kepler-1678 b,292.5916297,38.3995629
18083,Kepler-1678 b,292.5916297,38.3995629
18084,Kepler-418 b,294.4335228,38.3554729
18085,Kepler-418 c,294.4335228,38.3554729
18086,Kepler-1914 b,291.4314024,38.6543635
18087,Kepler-1727 b,290.3336142,38.7282722
18088,Kepler-1741 b,292.577073,39.120939
18089,Kepler-1897 b,294.2901043,39.126871
18090,Kepler-1944 b,296.5105045,39.1732645
18091,Kepler-1944 b,296.5105045,39.1732645
18092,Kepler-1795 b,286.4792568,39.2698793
18093,Kepler-1772 b,289.4381201,39.2703594
18094,Kepler-1961 b,286.3300783,39.6831276
18095,Kepler-1762 b,290.4931471,39.7855117
18096,Kepler-1933 b,283.995085,39.9170121
18097,Kepler-1933 b,283.995085,39.9170121
18098,Kepler-1933 b,283.995085,39.9170121
18099,Kepler-1758 b,297.7968197,39.9213378
18100,Kepler-1811 b,289.9793241,40.1427848
18101,Kepler-1725 b,294.3735518,40.1946345
18102,Kepler-1755 b,296.846092,40.1385777
18103,Kepler-1951 b,290.4999139,40.2877161
18104,Kepler-1812 b,298.0845087,40.2832525
18105,Kepler-1852 b,288.0297157,40.3441934
18106,Kepler-1809 b,290.2651662,40.5484937
